Browser,#Hits,#Users,#Orgs
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36""",85,35,13
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36""",54,24,7
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36""",1998,321,24
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36""",635,222,11
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2421.0 Safari/537.36""",3,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2424.0 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36""",697,143,31
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36""",550,101,15
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36 OPR/32.0.1948.69""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36""",29,12,3
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36""",51,13,4
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2472.0 Safari/537.36""",12,3,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2480.0 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36""",126,52,10
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36""",185,49,12
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36""",238,72,21
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36""",98,30,17
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36""",346,76,9
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36""",18,8,7
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36 Core/1.47.516.400 QQBrowser/9.4.8142.400""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36""",55,16,14
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36""",682,37,13
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36""",84,45,9
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36 OPR/35.0.2066.82""",2,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36 TheWorld 7""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36""",879,290,31
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36""",85,31,11
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36""",47,18,8
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.108 Safari/537.36""",664,46,6
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36""",9393,2217,32
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36""",473,146,20
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.22 Safari/537.36 SE 2.X MetaSr 1.0""",59,9,6
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36""",273,104,10
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36""",767,217,27
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36""",1049,287,40
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/5.7.16817.1002 Safari/537.36""",2,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/6.0.1121.13 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36""",604,151,12
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.87 Safari/537.36""",87,22,12
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36""",7040,681,29
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2683.0 Safari/537.36""",6,2,2
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2684.0 Safari/537.36""",3,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36 Vivaldi/1.2.490.43""",5,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36""",1839,520,61
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36""",1981,768,40
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36""",286,35,14
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.7 Safari/537.36""",3,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36""",62,23,12
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36""",847,243,34
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36""",5251,938,73
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36 OPR/39.0.2256.48""",3,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36""",229,84,32
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.0.11780 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36""",758,211,31
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.104 Safari/537.36 Core/1.53.1717.400 QQBrowser/9.5.9637.400""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36""",22,19,6
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36""",3635,809,68
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36""",7253,730,84
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.30 Safari/537.36""",8,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.8 Safari/537.36""",4,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36""",200,76,15
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2824.2 Safari/537.36""",5,2,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36 Vivaldi/1.5.658.44""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 YaBrowser/16.11.1.673 Yowser/2.5 Safari/537.36""",8,2,2
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.59 Safari/537.36""",1304,289,42
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36""",2427,490,83
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36 OPR/41.0.2353.59""",2,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36""",239,67,26
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36 OPR/41.0.2353.69""",5,3,3
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""",23475,2395,238
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2859.0 Safari/537.36""",26,3,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2882.4 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.11 Safari/537.36""",2,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.19 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.52 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36 OPR/42.0.2393.85""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36""",1788,381,54
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36 OPR/42.0.2393.94""",17,10,9
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36""",159210,26384,1357
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.9 Safari/537.36""",2,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.14.2883.75 Safari/537.36""",2,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2896.3 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2914.3 Safari/537.36 OPR/43.0.2431.0 (Edition developer)""",210,2,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.18 Safari/537.36""",18,3,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.28 Safari/537.36""",79,21,9
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.51 Safari/537.36""",43,15,5
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2950.4 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2950.5 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2969.0 Safari/537.36""",4,2,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2970.0 Safari/537.36""",10,5,5
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2971.0 Safari/537.36""",1,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4""",5,1,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/23.0.1255.0 Safari/537.8""",6,3,1
"Mozilla/5.0 (Windows NT 6.1; Evertest; Trident/7.0; rv:11.0) like Gecko""",293,1,1
"Mozilla/5.0 (Windows NT 6.1; Evertest; rv:45.0) Gecko/20100101 Firefox/45.0""",294,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; 1; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; ATT-IE11; rv:11.0) like Gecko""",1453,391,3
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; Avant Browser; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; BOIE8;ENUS; rv:11.0) like Gecko""",3,2,2
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; BOIE9;ENUS; rv:11.0) like Gecko""",2,2,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; BOIE9;ZHCN; rv:11.0) like Gecko""",3,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; CUAMatchv1; rv:11.0) like Gecko""",134,40,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; EIE10;ENUSWOL; rv:11.0) like Gecko""",11,5,3
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; EIE10;NLNLWOL; rv:11.0) like Gecko""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; FunWebProducts; LEN2; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; JHMCIS-DCS; rv:11.0) like Gecko""",30,8,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; LEN2; rv:11.0) like Gecko""",6,4,2
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MAARJS; rv:11.0) like Gecko""",7,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MALC; rv:11.0) like Gecko""",16,11,4
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MANM; rv:11.0) like Gecko""",19,7,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MANMJS; rv:11.0) like Gecko""",10,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MATP; rv:11.0) like Gecko""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MDDRJS; Avant Browser; rv:11.0) like Gecko""",3,2,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MDDRJS; rv:11.0) like Gecko""",49,12,10
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; MountSinai; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; Mozilla/4.0; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; S.N.O.W.4; S.N.O.W.4; rv:11.0) like Gecko""",18,13,2
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; S.N.O.W.4; rv:11.0) like Gecko""",90,38,4
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; SACD; rv:11.0) like Gecko""",70,10,2
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; SDSXP; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; TEIS-8-20091005.1; TEIS-8-20091005.1; rv:11.0) like Gecko""",4,2,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; TEIS-8-20091005.1; rv:11.0) like Gecko""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; managedpc; gdn/adcp; rv:11.0) like Gecko""",97,54,3
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; managedpc; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko""",151160,22921,833
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0; JuziBrowser) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0; SE 2.X MetaSr 1.0) like Gecko""",16,2,2
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0; chromeframe/31.0.1650.63) like Gecko""",50,2,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0; openframe/30.0.1599.0) like Gecko""",94,3,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0; openframe/31.0.1632.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-1AMwlA55Rr8;ChCbeJ; rv:11.0) like Gecko""",5,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-4WCJdgJjXW4;CoRHcr; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-5P5L8LPqs7s;CoRHLF; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-5P5L8LPqs7s;CoRHsr; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-5rlyqSW_iDo;ChCbUQ; rv:11.0) like Gecko""",5,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-5vjHTMvhM3A;CoRHLU; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-6ABoLAlBALA;ChAerZ; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-9I4GWrAQgG0;CoRHZ-; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-A7dKdh8V9ME;CoRHVc; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-BZsuAiIB-Oc;CoRHSy; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-CTPBoTreQa8;CrVMkh; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-CgRP62OjWyY;CoRHQr; rv:11.0) like Gecko""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-CmqPjqcA9XM;ChCbG6; rv:11.0) like Gecko""",7,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-Mlj4RRxzS2o;CoRHdc; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-Mlj4RRxzS2o;CoRIFT; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-OfXSQI12hoA;ChCbJU; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-QxkROYwq5EM;CoRHHn; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-Ry42_AnTDKg;CoRH9v; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-UxUzcw3D9uc;Cj4dTF; rv:11.0) like Gecko""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-Vwt0_ngRhWU;CuEEDh; rv:11.0) like Gecko""",3,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-WJfN_M5SwP4;ChAepR; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-_bZn1dsbUNY;CvgUFx; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-cEWFnJhj5xs;ChCbPc; rv:11.0) like Gecko""",17,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-dmliJ7TpWY8;ChCbcj; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-j-Qn70ueXBA;CoRH9-; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-kC3NZ0frZ8o;ChAehz; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-kRIZ0Teo-jU;ChCbVn; rv:11.0) like Gecko""",134,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-mLPo8EJUPVc;ChAeqd; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-rslDxqfq1Sw;ChAKiI; rv:11.0) like Gecko""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-sDRvRqbEzlw;Cg5EEA; rv:11.0) like Gecko""",5,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-tswbWETPTrc;ChAeQE; rv:11.0) like Gecko""",3,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-utg2iwuudTw;CoRHJv; rv:11.0) like Gecko""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-xQOVX2AE2lo;CrVMQS; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-ybJ-Bx0nl5M;CoRHLU; rv:11.0) like Gecko""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; yie10; rv:11.0) like Gecko""",3,1,1
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; yie11; rv:11.0) like Gecko""",11,5,2
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.112 Safari/534.30""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2""",17,5,5
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.33 Safari/535.11""",2,2,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.46 Safari/535.11 AirView1.0""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.83 Safari/535.11""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.142 Safari/535.19""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.162 Safari/535.19""",8,2,2
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2""",4,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.77 Safari/535.7""",8,2,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11""",11,3,2
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1155.2 Safari/537.1""",67,4,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1""",1119,179,2
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/537.11""",6,2,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11""",29,7,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11""",4,2,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17""",15,4,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17 SE 2.X MetaSr 1.0""",15,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17""",3,3,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.152 Safari/537.22""",26,5,2
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.172 Safari/537.22""",1,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.97 Safari/537.22""",2,1,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31""",35,9,6
